710 871
284 652 1
146 653 62
147 654 38
650 145 86
426 148 4
655 291 13
149 656 8
403 657 5
278 150 82
147 657 17
279 658 12
279 151 1
421 152 1
148 153 7
154 289 13
152 659 10
399 660 7
426 661 3
403 155 8
662 663 133
137 664 8
288 156 22
157 402 2
158 665 7
666 667 21
396 407 8
158 159 22
658 281 11
668 285 34
160 161 19
400 411 1
669 440 6
670 280 5
162 172 5
163 671 10
163 672 8
164 648 20
673 414 6
278 285 30
165 166 9
279 668 4
155 167 18
168 674 4
667 162 10
675 676 15
409 170 11
648 181 20
410 677 10
668 678 11
407 679 7
680 429 8
410 422 15
663 649 5
679 423 7
415 428 4
171 681 3
172 682 5
651 167 1
281 290 14
140 149 12
676 416 14
658 663 11
667 300 15
282 432 5
652 683 24
168 290 39
141 291 45
662 167 13
173 294 7
136 672 64
654 283 1
154 156 6
396 160 5
679 429 5
400 176 4
147 167 6
151 684 4
675 416 4
137 144 9
661 161 10
681 685 2
173 685 6
284 662 8
657 404 8
423 427 8
150 168 50
667 678 11
161 417 4
686 287 31
172 386 7
687 653 3
159 163 12
677 180 11
409 177 2
681 177 4
676 287 8
650 654 32
148 157 3
652 688 8
152 289 11
144 301 8
440 282 8
145 677 45
146 689 193
409 294 5
284 687 21
139 690 5
289 691 11
118 149 16
675 686 7
401 160 17
649 296 22
286 182 2
384 179 49
687 292 19
183 299 7
686 293 29
428 692 4
408 283 25
666 672 19
693 694 3
136 300 14
170 184 1
670 184 4
162 678 16
186 695 6
696 697 1
294 187 1
292 693 1
411 165 1
696 189 1
698 190 1
136 699 3
277 298 11
412 700 1
165 293 38
441 701 1
294 698 2
670 698 2
153 191 4
661 183 3
422 192 1
193 194 3
194 702 2
295 703 3
654 195 37
169 185 3
704 196 2
187 705 1
151 296 19
706 197 1
175 697 1
653 188 8
704 431 7
188 707 2
697 198 1
184 199 1
683 193 2
139 197 3
280 200 2
185 201 4
700 433 1
170 282 16
183 700 2
708 297 4
704 200 5
708 437 2
666 300 31
142 696 2
651 186 2
432 441 1
299 433 6
161 437 3
155 193 13
175 706 6
139 706 4
162 301 12
693 702 7
277 708 1
683 702 6
413 685 1
174 709 4
153 418 4
419 427 3
169 178 2
