982 1103
788 793 2
787 792 6
784 791 3
735 789 3
755 794 2
21 66 27
283 287 25
461 67 5
67 68 8
455 46 7
734 21 16
283 457 1
67 795 4
268 288 15
734 69 44
69 796 31
753 70 3
70 71 2
72 797 3
73 798 3
73 799 3
8 289 15
289 387 5
423 74 15
268 33 7
463 76 4
69 77 167
753 426 13
70 72 3
72 73 3
289 78 2
423 79 11
465 80 10
472 290 6
468 281 11
756 81 9
82 800 20
801 291 6
475 802 18
605 83 3
83 803 3
803 804 1
804 84 5
804 805 36
806 292 8
478 85 5
801 602 19
801 479 50
807 613 5
86 87 2
87 88 8
484 486 13
484 485 3
485 487 42
487 488 5
808 590 1
590 293 9
809 89 109
810 90 4
90 811 232
90 812 33
596 813 9
813 814 26
814 815 5
294 815 12
814 91 9
482 92 4
295 813 23
495 499 29
816 497 1
499 500 37
498 94 12
96 502 5
94 306 9
97 817 3
595 98 8
818 819 4
576 509 10
99 100 7
598 820 3
820 101 9
101 102 20
102 511 6
493 821 4
516 296 6
296 517 1
297 521 6
522 104 4
22 815 6
532 533 1
298 822 20
818 822 8
818 823 21
824 825 8
100 825 7
822 137 6
825 299 51
295 394 9
300 553 17
483 106 29
106 107 2
405 107 3
487 301 10
544 109 9
544 302 12
86 110 18
85 110 15
548 111 16
93 111 6
93 615 8
523 303 7
548 549 4
549 304 24
110 826 9
112 113 7
486 304 8
477 311 18
315 552 2
552 612 3
553 827 8
114 561 7
560 565 3
114 565 20
562 566 4
566 628 1
553 115 8
115 116 1
547 116 4
821 828 109
507 828 31
828 123 25
803 572 8
105 829 16
94 830 13
502 305 8
305 117 13
306 831 19
96 832 22
508 636 4
307 633 10
103 833 8
296 119 11
533 120 24
532 308 11
298 309 66
824 121 20
824 122 15
541 310 36
111 834 31
112 835 13
113 836 17
116 837 8
115 312 11
541 585 8
606 124 14
125 838 14
126 839 18
97 126 5
125 840 6
118 841 8
22 842 13
843 127 17
110 546 14
106 542 16
64 844 14
820 128 13
845 313 13
87 545 11
601 129 6
129 846 15
130 847 31
130 848 14
131 849 23
850 851 2
851 852 27
62 853 19
132 854 80
64 133 13
101 134 33
448 135 10
597 136 18
848 855 18
848 131 20
809 131 68
809 810 42
808 589 46
589 132 38
132 856 22
62 856 12
856 594 1
49 525 8
49 64 4
598 556 21
529 845 1
520 845 10
520 314 14
601 857 63
602 601 4
82 603 6
82 858 69
748 399 1
807 315 15
300 315 28
605 300 21
95 514 13
474 95 17
474 606 21
816 606 16
843 859 11
859 860 1
850 860 112
850 861 11
858 859 6
858 860 6
862 863 5
599 863 7
863 864 5
314 865 17
865 866 5
865 867 5
137 868 3
137 869 2
870 607 5
607 871 5
866 868 1
868 872 1
864 872 1
862 864 1
862 871 1
870 871 2
867 870 1
866 867 1
610 138 48
851 138 12
851 873 32
810 874 77
816 843 23
826 611 11
75 492 2
399 139 10
140 875 7
608 622 5
622 617 16
617 619 18
823 141 9
876 142 17
877 143 25
655 316 14
537 317 12
826 112 1
612 144 5
613 481 1
88 483 3
399 878 10
75 139 6
303 140 3
615 140 1
823 876 2
141 879 16
824 876 9
877 880 5
625 881 1
537 578 2
317 882 11
79 821 48
881 145 12
146 883 30
513 318 12
869 147 7
819 319 9
880 148 9
148 149 1
874 884 3
884 150 2
884 151 3
881 626 1
145 146 7
869 872 1
819 877 2
319 152 6
576 880 5
148 885 4
808 874 16
508 633 7
878 604 34
469 470 1
470 638 7
827 639 2
555 640 3
639 640 3
807 878 1
636 307 12
827 555 1
153 684 7
886 154 12
887 703 43
888 642 22
643 725 8
155 706 7
706 156 6
156 157 10
646 159 148
159 708 37
647 654 4
654 648 1
857 160 11
160 721 9
320 889 11
889 890 8
890 891 4
891 656 14
661 662 27
160 892 4
892 162 1
162 163 3
320 239 10
890 665 15
660 666 6
658 161 12
164 321 179
321 893 53
894 322 7
165 323 7
323 166 10
166 669 7
667 323 21
659 324 32
895 167 52
167 676 14
687 224 16
687 168 18
889 723 7
325 896 13
896 682 1
896 683 20
170 897 8
153 897 4
153 685 40
685 171 9
897 898 7
165 899 28
687 699 33
900 172 19
172 173 47
173 174 48
174 175 8
175 176 9
177 689 87
689 178 2
178 901 30
894 179 5
886 693 18
886 695 3
692 180 25
181 182 50
182 326 17
326 183 3
183 902 13
902 184 7
184 185 14
185 186 32
186 187 33
187 903 20
719 697 12
698 188 3
189 190 4
700 191 15
181 191 36
698 192 45
192 904 3
902 193 33
887 905 4
887 332 5
703 702 16
194 195 14
195 196 10
196 197 2
197 329 12
701 199 7
156 906 21
155 907 10
892 200 7
163 908 17
712 909 2
646 164 31
202 910 283
911 203 3
203 912 74
204 208 244
913 914 9
205 206 12
206 207 15
207 208 10
171 915 46
175 916 57
178 917 61
196 918 12
197 919 20
179 920 19
921 922 3
698 209 20
188 923 13
198 924 11
210 925 14
173 926 14
172 927 12
166 928 14
669 211 16
158 929 14
207 930 7
931 212 6
891 213 9
214 932 4
190 933 13
700 215 15
181 934 20
182 935 29
184 327 21
189 686 17
194 936 16
216 937 33
201 938 13
174 939 17
177 688 20
172 940 22
217 941 13
218 942 59
157 943 33
156 944 15
206 945 19
219 946 84
947 229 28
220 948 16
221 949 23
214 950 19
873 222 58
223 328 13
199 951 25
855 952 7
901 913 9
711 913 14
711 225 12
217 225 9
690 218 40
888 690 35
888 219 39
204 219 29
895 204 82
857 895 7
861 953 1
950 953 21
900 950 7
900 921 9
921 931 32
931 947 12
947 220 2
220 223 48
901 223 41
901 911 12
909 911 41
210 216 15
644 216 31
644 954 15
954 718 4
719 226 57
226 694 74
898 694 22
898 955 6
861 952 4
905 718 7
952 953 5
905 954 6
873 227 18
956 228 7
221 228 24
221 922 13
202 217 30
202 218 5
909 210 22
855 227 13
662 957 13
230 958 10
231 959 11
683 957 15
185 960 13
721 232 14
200 961 13
723 233 12
234 962 13
329 330 22
914 331 7
963 235 5
235 964 5
704 965 52
724 236 6
332 966 10
227 967 12
662 161 5
230 237 11
230 231 5
231 238 12
957 238 1
722 239 11
325 234 1
329 198 1
914 963 5
205 963 17
671 724 11
236 240 19
332 701 6
922 241 25
682 169 9
725 155 4
696 968 2
969 970 23
242 971 5
243 244 30
955 245 9
245 246 9
334 247 3
247 248 2
248 249 25
969 249 1
969 972 7
972 250 14
250 251 68
251 252 28
242 245 7
242 973 2
252 253 15
728 729 14
170 974 35
974 975 32
975 256 34
972 333 65
894 243 14
244 254 8
244 976 21
253 977 32
974 255 67
975 257 50
193 978 22
248 258 22
247 979 11
250 980 18
249 981 13
955 252 108
246 259 23
257 260 73
334 246 10
