667 837
574 630 3
556 620 27
535 127 1
635 127 24
543 590 13
128 129 3
560 130 12
639 651 3
246 619 9
51 83 7
565 478 10
255 131 3
52 175 16
52 284 14
26 132 3
104 479 2
368 403 13
421 652 1
583 126 1
320 192 2
327 263 8
589 481 3
554 65 1
653 457 1
18 47 9
542 602 2
287 98 2
613 326 16
585 621 16
588 621 11
51 650 5
650 133 1
337 608 1
352 134 4
584 135 4
304 136 6
75 136 4
612 631 7
233 399 1
606 121 2
559 471 3
33 138 6
434 193 3
193 435 7
251 417 9
97 191 5
80 139 2
195 63 15
307 140 3
414 141 3
557 529 12
571 531 3
9 94 8
571 551 4
458 222 6
14 423 1
595 631 11
580 596 16
438 417 10
196 347 9
261 433 1
617 561 5
566 443 7
38 127 17
580 142 5
237 197 7
624 435 14
587 289 2
654 655 12
8 373 5
80 372 5
415 106 1
441 430 3
90 435 8
513 248 2
615 643 11
293 143 1
451 270 1
340 190 4
591 592 4
144 656 2
491 145 1
546 258 7
544 144 2
356 478 10
523 383 2
138 146 2
431 368 1
315 147 5
313 389 1
347 346 1
292 109 9
349 91 7
4 136 8
179 465 3
32 64 1
81 124 5
619 134 1
223 140 7
380 143 1
616 479 33
639 657 5
327 463 1
640 624 2
144 148 4
92 430 2
658 150 1
361 447 1
172 197 4
151 472 9
239 99 12
603 85 3
658 152 2
345 326 9
326 452 9
514 615 32
257 419 1
642 452 17
119 198 5
129 659 1
443 468 1
149 660 11
427 661 1
347 440 2
595 642 4
240 154 4
654 464 8
182 131 8
468 662 2
7 155 5
276 448 1
146 156 2
613 642 9
649 198 8
172 157 1
114 128 3
128 148 5
289 649 3
587 111 1
645 530 4
491 155 3
359 149 1
426 655 5
86 656 2
214 158 12
244 663 6
321 655 6
568 480 2
640 160 2
138 161 4
475 199 2
206 466 1
114 656 3
492 425 8
596 162 8
469 569 2
292 158 3
63 658 4
657 163 2
657 164 1
568 645 4
103 153 2
569 200 2
633 165 7
503 633 6
120 201 2
130 651 3
639 166 7
489 486 4
202 486 7
272 664 5
654 487 12
2 203 4
651 166 5
599 531 6
599 532 7
629 490 19
21 120 3
628 665 1
119 665 6
485 665 3
501 525 7
286 137 3
137 666 22
