761 917
269 649 26
632 650 17
13 558 25
346 377 18
614 127 12
614 128 43
70 90 20
338 651 12
329 117 48
330 117 166
547 129 72
76 635 16
23 628 35
557 328 6
557 651 2
574 130 75
85 574 37
586 123 93
652 653 31
654 655 48
639 134 9
630 260 1
653 656 1
261 351 21
556 606 36
556 88 10
262 650 17
595 135 27
261 657 9
637 351 60
623 255 18
627 650 3
360 658 15
624 659 13
630 659 32
356 275 39
125 592 654
262 356 4
254 654 3
355 406 15
251 263 11
632 275 10
342 274 8
112 137 18
349 137 3
586 625 108
78 651 155
543 660 44
583 660 3
251 140 15
604 263 5
525 118 92
74 89 32
585 603 42
654 357 10
101 116 69
615 337 63
52 94 138
638 577 14
577 271 49
640 136 194
49 142 39
283 264 34
64 620 15
377 657 24
633 652 46
646 652 7
644 273 3
111 639 11
560 311 1
571 57 20
265 144 25
637 661 20
656 661 25
266 662 15
554 145 3
534 146 54
621 147 44
110 273 54
267 663 59
599 149 22
656 268 81
256 268 32
536 664 10
653 658 40
633 658 2
526 150 21
528 151 209
617 133 125
19 151 270
638 649 7
622 128 139
524 270 79
641 271 74
646 134 14
610 134 15
335 641 40
665 190 70
666 667 38
113 668 13
584 648 11
13 669 96
155 670 25
671 672 17
362 673 54
640 156 26
659 587 4
335 126 12
674 186 269
333 423 17
631 273 24
272 357 37
326 655 11
260 675 18
258 644 41
665 561 22
589 150 377
261 274 20
334 158 2
155 158 1
159 676 50
276 563 33
97 103 31
649 266 10
144 277 79
144 592 69
634 161 15
657 278 19
677 162 6
503 163 6
379 678 8
648 679 124
680 681 36
600 164 74
605 682 75
683 408 75
623 677 4
594 159 53
661 587 44
278 376 19
637 677 6
12 279 244
416 167 8
256 280 16
345 647 63
385 127 76
684 685 35
686 687 10
688 689 39
684 690 83
691 169 12
692 693 29
558 171 3
103 694 31
688 695 41
503 664 4
664 281 12
496 138 190
124 280 45
696 674 146
697 674 41
688 685 39
655 173 35
684 570 36
698 186 45
699 700 13
282 447 37
667 154 80
701 174 2
97 174 32
702 703 114
704 705 49
686 706 86
707 703 59
572 176 6
378 381 3
707 708 6
510 660 252
671 709 62
710 177 4
697 679 33
149 179 75
180 181 16
699 396 28
687 711 146
182 570 45
603 183 3
698 696 94
407 184 29
685 689 73
665 712 61
713 714 47
690 222 27
714 185 8
388 185 5
388 410 14
615 187 63
704 715 6
114 169 37
716 288 11
188 717 7
714 429 13
709 718 45
703 719 74
387 432 2
463 191 54
189 720 9
559 721 16
559 190 62
698 722 77
652 645 6
191 723 11
723 724 12
432 399 22
724 450 9
179 725 75
693 683 2
517 608 46
706 672 35
537 192 33
407 386 1
715 726 48
695 711 1
666 193 7
710 727 7
702 194 32
184 408 8
689 728 132
682 705 25
707 708 7
729 449 8
185 399 38
692 195 21
645 284 2
666 196 9
179 728 23
649 285 3
364 730 9
580 239 26
559 705 35
341 197 1
198 219 23
336 199 36
193 200 23
392 286 4
719 465 6
400 731 17
489 420 6
699 436 24
683 201 4
721 205 41
727 732 9
733 734 8
402 202 11
180 203 14
717 735 7
62 730 65
107 713 70
686 687 12
700 497 28
198 736 5
698 702 29
726 736 1
464 204 14
704 205 6
647 690 85
200 737 34
489 287 11
430 206 15
682 696 30
476 457 13
288 738 4
739 207 7
736 731 19
718 291 10
379 184 17
497 740 9
713 208 48
282 741 2
725 209 3
742 743 7
695 708 5
429 436 14
191 744 1
692 465 66
512 147 12
289 745 13
715 722 25
181 717 3
181 210 11
462 442 14
746 211 6
747 229 17
746 747 5
424 212 7
733 748 23
724 749 9
405 213 4
750 217 44
214 485 8
738 739 2
716 720 4
716 189 13
180 751 49
752 290 8
739 461 1
195 215 7
729 742 2
605 216 13
410 429 26
415 748 4
461 233 6
403 753 46
486 484 1
486 480 11
415 470 50
744 218 14
722 220 31
726 220 41
370 202 16
706 291 18
450 748 9
745 754 16
755 223 2
223 492 58
422 224 55
728 225 12
466 226 9
680 449 8
449 456 10
709 428 24
734 720 7
723 749 13
678 712 14
642 227 23
576 756 7
690 750 21
693 439 16
671 757 13
710 221 3
729 221 5
214 461 15
716 214 3
735 425 8
712 401 5
679 740 10
389 414 8
681 735 10
725 222 85
732 743 4
754 228 5
448 470 15
680 752 3
189 742 2
463 475 14
732 230 1
757 231 9
697 740 23
756 242 34
755 756 6
719 466 29
365 478 9
734 738 5
427 468 4
576 755 7
741 750 12
747 758 47
758 292 11
450 759 31
469 759 2
743 232 1
752 760 4
580 760 4
745 234 17
672 718 25
713 730 50
177 397 3
678 472 9
182 235 12
741 473 13
700 740 20
476 481 13
475 481 13
611 167 23
744 236 5
749 754 6
425 758 11
681 753 20
486 233 1
733 490 7
386 380 5
753 237 6
224 759 11
447 217 7
200 757 3
642 218 14
731 238 9
748 749 13
224 455 11
455 293 8
471 293 9
456 760 18
188 240 3
282 474 3
667 241 12
188 746 8
485 488 6
721 219 5
727 239 10
458 492 6
